threat-crank.py 0.2.1
I: searching for industries that match .* factory.*|.* manufactur.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.1/enterprise-attack/enterprise-attack.json
BRONZE BUTLER;defense-evasion
defense-evasion;T1027.003
Leviathan;defense-evasion
defense-evasion;T1218.010
Threat Group-3390;exfiltration
exfiltration;T1030
Threat Group-3390;defense-evasion
defense-evasion;T1027
Threat Group-3390;collection
collection;T1074.002
APT-C-36;command-and-control
command-and-control;T1571
Fox Kitten;collection
collection;T1039
Fox Kitten;resource-development
resource-development;T1585.001
LAPSUS$;discovery
discovery;T1087.002
Threat Group-3390;initial-access
initial-access;T1566.001
Threat Group-3390;resource-development
resource-development;T1608.001
BRONZE BUTLER;defense-evasion
defense-evasion;T1036.002
APT19;persistence
persistence;T1543.003
APT19;privilege-escalation
privilege-escalation;T1543.003
BRONZE BUTLER;discovery
discovery;T1087.002
Leviathan;lateral-movement
lateral-movement;T1021.004
Leviathan;defense-evasion
defense-evasion;T1197
Leviathan;persistence
persistence;T1197
LAPSUS$;defense-evasion
defense-evasion;T1578.002
Fox Kitten;discovery
discovery;T1012
Elderwood;execution
execution;T1204.001
APT18;command-and-control
command-and-control;T1105
Threat Group-3390;lateral-movement
lateral-movement;T1210
SilverTerrier;command-and-control
command-and-control;T1071.002
Threat Group-3390;privilege-escalation
privilege-escalation;T1548.002
Threat Group-3390;defense-evasion
defense-evasion;T1548.002
APT-C-36;execution
execution;T1053.005
APT-C-36;persistence
persistence;T1053.005
APT-C-36;privilege-escalation
privilege-escalation;T1053.005
BRONZE BUTLER;initial-access
initial-access;T1566.001
Threat Group-3390;collection
collection;T1005
Fox Kitten;discovery
discovery;T1217
Axiom;resource-development
resource-development;T1584.005
Axiom;collection
collection;T1560
APT18;execution
execution;T1053.002
APT18;persistence
persistence;T1053.002
APT18;privilege-escalation
privilege-escalation;T1053.002
Elderwood;defense-evasion
defense-evasion;T1027.002
Threat Group-3390;execution
execution;T1059.003
Axiom;execution
execution;T1203
Leviathan;resource-development
resource-development;T1585.001
Threat Group-3390;privilege-escalation
privilege-escalation;T1068
Threat Group-3390;initial-access
initial-access;T1195.002
APT19;defense-evasion
defense-evasion;T1218.011
Leviathan;execution
execution;T1204.002
BRONZE BUTLER;collection
collection;T1560.001
LAPSUS$;initial-access
initial-access;T1199
BRONZE BUTLER;discovery
discovery;T1124
BRONZE BUTLER;command-and-control
command-and-control;T1573.001
Fox Kitten;defense-evasion
defense-evasion;T1036.004
Elderwood;initial-access
initial-access;T1189
Threat Group-3390;discovery
discovery;T1049
Threat Group-3390;discovery
discovery;T1087.001
LAPSUS$;collection
collection;T1213.001
Fox Kitten;execution
execution;T1059.001
Threat Group-3390;initial-access
initial-access;T1190
Leviathan;execution
execution;T1203
LAPSUS$;persistence
persistence;T1133
LAPSUS$;initial-access
initial-access;T1133
BRONZE BUTLER;execution
execution;T1053.005
BRONZE BUTLER;persistence
persistence;T1053.005
BRONZE BUTLER;privilege-escalation
privilege-escalation;T1053.005
BRONZE BUTLER;command-and-control
command-and-control;T1132.001
Threat Group-3390;resource-development
resource-development;T1608.002
BRONZE BUTLER;discovery
discovery;T1518
Axiom;privilege-escalation
privilege-escalation;T1546.008
Axiom;persistence
persistence;T1546.008
LAPSUS$;collection
collection;T1213
Leviathan;execution
execution;T1559.002
Threat Group-3390;discovery
discovery;T1033
BRONZE BUTLER;execution
execution;T1053.002
BRONZE BUTLER;persistence
persistence;T1053.002
BRONZE BUTLER;privilege-escalation
privilege-escalation;T1053.002
Fox Kitten;discovery
discovery;T1018
Fox Kitten;discovery
discovery;T1046
LAPSUS$;persistence
persistence;T1098.003
Leviathan;exfiltration
exfiltration;T1041
LAPSUS$;collection
collection;T1213.003
Fox Kitten;execution
execution;T1053.005
Fox Kitten;persistence
persistence;T1053.005
Fox Kitten;privilege-escalation
privilege-escalation;T1053.005
Threat Group-3390;initial-access
initial-access;T1199
Threat Group-3390;collection
collection;T1074.001
Threat Group-3390;collection
collection;T1560.002
Axiom;initial-access
initial-access;T1566
BRONZE BUTLER;defense-evasion
defense-evasion;T1036.005
Leviathan;command-and-control
command-and-control;T1102.003
APT18;execution
execution;T1059.003
POLONIUM;exfiltration
exfiltration;T1567.002
LAPSUS$;resource-development
resource-development;T1588.001
BRONZE BUTLER;privilege-escalation
privilege-escalation;T1548.002
BRONZE BUTLER;defense-evasion
defense-evasion;T1548.002
Axiom;collection
collection;T1005
APT19;resource-development
resource-development;T1588.002
Leviathan;collection
collection;T1560
Elderwood;defense-evasion
defense-evasion;T1027
Threat Group-3390;discovery
discovery;T1012
Threat Group-3390;discovery
discovery;T1046
Axiom;command-and-control
command-and-control;T1001.002
Fox Kitten;collection
collection;T1530
Fox Kitten;resource-development
resource-development;T1585
Leviathan;defense-evasion
defense-evasion;T1027.003
Fox Kitten;credential-access
credential-access;T1003.003
APT18;command-and-control
command-and-control;T1071.004
APT18;persistence
persistence;T1133
APT18;initial-access
initial-access;T1133
Fox Kitten;defense-evasion
defense-evasion;T1027
BRONZE BUTLER;initial-access
initial-access;T1189
POLONIUM;defense-evasion
defense-evasion;T1078
POLONIUM;persistence
persistence;T1078
POLONIUM;privilege-escalation
privilege-escalation;T1078
POLONIUM;initial-access
initial-access;T1078
APT19;execution
execution;T1059.001
LAPSUS$;credential-access
credential-access;T1003.003
Elderwood;execution
execution;T1203
Axiom;defense-evasion
defense-evasion;T1553
LAPSUS$;command-and-control
command-and-control;T1090
Threat Group-3390;persistence
persistence;T1505.003
APT19;execution
execution;T1059
APT-C-36;execution
execution;T1059.005
Elderwood;command-and-control
command-and-control;T1105
Axiom;initial-access
initial-access;T1190
Leviathan;defense-evasion
defense-evasion;T1553.002
Threat Group-3390;exfiltration
exfiltration;T1567.002
BRONZE BUTLER;command-and-control
command-and-control;T1071.001
Fox Kitten;lateral-movement
lateral-movement;T1021.002
Leviathan;defense-evasion
defense-evasion;T1140
Threat Group-3390;defense-evasion
defense-evasion;T1055.012
Threat Group-3390;privilege-escalation
privilege-escalation;T1055.012
LAPSUS$;resource-development
resource-development;T1588.002
Leviathan;defense-evasion
defense-evasion;T1078
Leviathan;persistence
persistence;T1078
Leviathan;privilege-escalation
privilege-escalation;T1078
Leviathan;initial-access
initial-access;T1078
Leviathan;execution
execution;T1047
Fox Kitten;command-and-control
command-and-control;T1102
LAPSUS$;defense-evasion
defense-evasion;T1078.004
LAPSUS$;persistence
persistence;T1078.004
LAPSUS$;privilege-escalation
privilege-escalation;T1078.004
LAPSUS$;initial-access
initial-access;T1078.004
POLONIUM;initial-access
initial-access;T1199
BRONZE BUTLER;resource-development
resource-development;T1588.002
Leviathan;execution
execution;T1059.005
Leviathan;persistence
persistence;T1547.001
Leviathan;privilege-escalation
privilege-escalation;T1547.001
Threat Group-3390;persistence
persistence;T1133
Threat Group-3390;initial-access
initial-access;T1133
Leviathan;initial-access
initial-access;T1566.001
Leviathan;credential-access
credential-access;T1003.001
Fox Kitten;discovery
discovery;T1083
BRONZE BUTLER;lateral-movement
lateral-movement;T1080
Fox Kitten;persistence
persistence;T1505.003
LAPSUS$;defense-evasion
defense-evasion;T1078
LAPSUS$;persistence
persistence;T1078
LAPSUS$;privilege-escalation
privilege-escalation;T1078
LAPSUS$;initial-access
initial-access;T1078
BRONZE BUTLER;command-and-control
command-and-control;T1102.001
BRONZE BUTLER;defense-evasion
defense-evasion;T1036
APT19;defense-evasion
defense-evasion;T1027.010
LAPSUS$;credential-access
credential-access;T1621
Threat Group-3390;resource-development
resource-development;T1588.002
Threat Group-3390;credential-access
credential-access;T1003.002
Leviathan;resource-development
resource-development;T1585.002
Threat Group-3390;persistence
persistence;T1574.002
Threat Group-3390;privilege-escalation
privilege-escalation;T1574.002
Threat Group-3390;defense-evasion
defense-evasion;T1574.002
Leviathan;defense-evasion
defense-evasion;T1055.001
Leviathan;privilege-escalation
privilege-escalation;T1055.001
APT19;persistence
persistence;T1574.002
APT19;privilege-escalation
privilege-escalation;T1574.002
APT19;defense-evasion
defense-evasion;T1574.002
Leviathan;command-and-control
command-and-control;T1572
Threat Group-3390;collection
collection;T1119
SilverTerrier;command-and-control
command-and-control;T1071.003
BRONZE BUTLER;defense-evasion
defense-evasion;T1550.003
BRONZE BUTLER;lateral-movement
lateral-movement;T1550.003
Fox Kitten;credential-access
credential-access;T1003.001
Threat Group-3390;defense-evasion
defense-evasion;T1078
Threat Group-3390;persistence
